Model Name,Description,Images (Use Case),Demo Video / YouTube Link,TFLite File Download Link
NASNet-Mobile,"A high-performance model for mobile image classification, generated by neural architecture search.",,https://www.youtube.com/watch?v=2t_r62tG4cI,https://tfhub.dev/tensorflow/lite-model/nasnet_mobile/1/default/1
EfficientDet-Lite0,"A lightweight object detection model, part of the EfficientDet family.",,https://www.youtube.com/watch?v=N6I-jB3j09Y,https://tfhub.dev/tensorflow/lite-model/efficientdet/lite0/detection/1
EfficientDet-Lite1,A slightly larger and more accurate version for object detection.,,https://www.youtube.com/watch?v=N6I-jB3j09Y,https://tfhub.dev/tensorflow/lite-model/efficientdet/lite1/detection/1
EfficientDet-Lite2,"Another variant of EfficientDet-Lite, balancing accuracy and size for on-device use.",,https://www.youtube.com/watch?v=N6I-jB3j09Y,https://tfhub.dev/tensorflow/lite-model/efficientdet/lite2/detection/1
EfficientDet-Lite3,A powerful and still lightweight object detection model from the EfficientDet series.,,https://www.youtube.com/watch?v=N6I-jB3j09Y,https://tfhub.dev/tensorflow/lite-model/efficientdet/lite3/detection/1
EfficientDet-Lite4,The largest and most accurate of the EfficientDet-Lite models.,,https://www.youtube.com/watch?v=N6I-jB3j09Y,https://tfhub.dev/tensorflow/lite-model/efficientdet/lite4/detection/1
TFLite_Segmentation_model,A simple model for general image segmentation tasks.,,https://www.youtube.com/watch?v=xT4sB-eF4vU,https://github.com/tensorflow/examples/blob/master/lite/examples/image_segmentation/android/app/src/main/assets/deeplabv3_257_quant.tflite
TFLite_Face_Landmarker,A model designed for real-time face landmarking on video streams.,,https://www.youtube.com/watch?v=1u1e9uV-h-o,https://developers.google.com/mediapipe/solutions/vision/face_landmarker
TFLite_Hair_Segmentation_model,A specialized model for real-time hair segmentation from a person in a video feed.,,https://www.youtube.com/watch?v=682Wd46Wf58,https://developers.google.com/mediapipe/solutions/vision/image_segmenter
TFLite_Gesture_Recognizer,A model for recognizing static hand gestures from a set of predefined poses.,,https://www.youtube.com/watch?v=0k5f6tP0WpA,https://developers.google.com/mediapipe/solutions/vision/gesture_recognizer
TFLite_Objectron_model,A model for real-time 3D object detection for common objects like shoes and chairs.,,https://www.youtube.com/watch?v=XQ3K8dYlE0M,https://developers.google.com/mediapipe/solutions/vision/object_detector
TFLite_Image_Classifier_Model_with_Metadata,A generic image classification model with metadata for easy integration into apps.,,https://www.youtube.com/watch?v=F0Cg8D8zE9U,https://www.tensorflow.org/lite/examples/image_classification/overview
TFLite_Style_Transfer_Model,A model for applying artistic styles from one image to another.,,https://www.youtube.com/watch?v=480L-Wn7WPs,https://tfhub.dev/google/lite-model/arbitrary-image-stylization-v1-256/int8/predict/1
TFLite_Depth_Estimation_Model,A model for estimating the depth of objects in a single image.,,https://www.youtube.com/watch?v=xT4sB-eF4vU,https://github.com/google/mediapipe/tree/master/mediapipe/models
TFLite_Iris_Detection_Model,A model for real-time iris detection and landmarking.,,https://www.youtube.com/watch?v=1u1e9uV-h-o,https://github.com/tensorflow/tfjs-models/tree/master/face-landmarks-detection
TFLite_Hand_Pose_Estimation_Model,A specialized model for accurately estimating the pose of hands.,,https://www.youtube.com/watch?v=0k5f6tP0WpA,https://github.com/PINTO0309/PINTO_model_zoo/tree/main/007_Hand_Pose_Estimation_from_A_Single_RGB_Image
YOLO_X_nano,"A super small and fast version of the YOLO-X model, ideal for resource-constrained devices.",,https://www.youtube.com/watch?v=525j4p7gLgQ,https://huggingface.co/qualcomm/Yolo-X
YOLO_X_tiny,"A small and fast version of the YOLO-X model, balancing size and accuracy for real-time applications.",,https://www.youtube.com/watch?v=525j4p7gLgQ,https://huggingface.co/qualcomm/Yolo-X
TFLite_Human_Pose_Estimation_Model,A general model for detecting and tracking the human pose.,,https://www.youtube.com/watch?v=t_1w3N4_j2A,https://github.com/google/mediapipe/tree/master/mediapipe/modules
TFLite_Facial_Expression_Recognition,A model for classifying a person's facial expression into categories like happiness or sadness.,,https://www.youtube.com/watch?v=uD5o8k9_C9g,https://github.com/tensorflow/models/tree/master/research/deeplab/g3doc
TFLite_Body_Segmentation_Model,A model for segmenting the human body from the background.,,https://www.youtube.com/watch?v=xT4sB-eF4vU,https://github.com/PINTO0309/PINTO_model_zoo/tree/main/001_deeplabv3
TFLite_Object_Detection_Model_with_Metadata,A generic object detection model with metadata for easy integration into apps.,,https://www.youtube.com/watch?v=Q-9Xp_N6lWk,https://www.tensorflow.org/lite/examples/object_detection/overview
TFLite_Image_Segmentation_Model_with_Metadata,A generic image segmentation model with metadata for easy integration into apps.,,https://www.youtube.com/watch?v=682Wd46Wf58,https://www.tensorflow.org/lite/examples/image_segmentation/overview
TFLite_Face_Detection_with_Landmarks,A model that not only detects faces but also provides facial landmarks.,,https://www.youtube.com/watch?v=H6Qy0N535z0,https://github.com/PINTO0309/PINTO_model_zoo/tree/main/030_BlazeFace
TFLite_Hand_Gesture_Recognition,A model for real-time hand gesture recognition.,,https://www.youtube.com/watch?v=0k5f6tP0WpA,https://github.com/google/mediapipe/tree/master/mediapipe/modules
